Sr_No,Symptoms 1,Symptom 2,Symptom 3,Symptom 4,Symptom 5,Symptom 6,Symptom 7,Symptom 8,Symptom 9,Symptom 10,Symptom 11,Symptom 12,Symptom 13,Symptom 14,Symptom 15,Symptom 16,Disease,Remedy
53,None,itching,None,None,dizziness,runny nose,difficulty breathing,None,cough,vomiting,None,skin redness,None,confusion,None,rash,Latex allergy,"Many common products contain latex, but you can usually find a suitable option. Prevent an allergic reaction to latex by avoiding these products:
Dishwashing gloves, Some types of carpeting, Balloons, Rubber toys, Hot, water bottles, Baby bottle nipples, Some disposable diapers, Rubber bands, Erasers, Diaphragms, Swim goggles, Racket handles, Motorcycle and bicycle handgrips, Blood pressure cuffs Stethoscopes, Intravenous tubing, Syringes, Respirators, Electrode pads, Surgical masks, Dental dams.
Many health care facilities use nonlatex gloves. However, because other medical products may contain latex or rubber, be sure to tell doctors, nurses, dentists and other health care workers about your allergy before all exams or procedures. Wearing a medical alert bracelet can inform others of your latex allergy.
Seek emergency medical care if you are having or think you're having an anaphylactic reaction.

If you have less severe reactions after exposure to latex, talk to your doctor. If possible, see your doctor when you're reacting, which will aid in diagnosis."
54,gradual thinning on top of head,circular or patchy bald spots,loosening of hair,full-body hair loss,patches of scaling that spread over the scalp,None,None,hair loss,None,None,None,None,None,None,None,None,Hair loss,None
55,fever,headache,swelling at the site of the sting,sharp burning pain at the sting site,dizziness,None,difficulty breathing,diarrhea,None,vomiting,loss of consciousness,skin redness,None,None,None,None,Bee sting,"The following tips can help reduce your risk of getting stung by bees:
 - Take care when drinking sweet beverages outside. Wide, open cups may be your best option because you can see if a bee is in them. Inspect cans and straws before drinking from them.
 - Tightly cover food containers and trash cans.
 - Clear away garbage, fallen fruit, and dog or other animal feces (flies can attract wasps).
 - Wear closed-toe shoes when walking outside.
 - Don't wear bright colors or floral prints, which can attract bees.
 - Don't wear loose clothing, which can trap bees between the cloth and your skin.
 - When driving, keep your windows rolled up.
 - Be careful when mowing the lawn or trimming vegetation, activities that might arouse insects in a beehive or wasp nest.
 - Have hives and nests near your home removed by a professional.
In most cases, bee stings don't require a visit to your doctor.Seek prompt medical care if you've been swarmed by bees and have multiple stings."
56,change in body shape,gaining weight,eating abnormally large amounts of food,None,weight loss,fasting,restricting calories,None,None,vomiting,None,None,None,None,None,None,Bulimia nervosa,"Although there's no sure way to prevent bulimia, you can steer someone toward healthier behavior or professional treatment before the situation worsens. Here's how you can help:
 - Foster and reinforce a healthy body image in your children, no matter what their size or shape. Help them build confidence in ways other than their appearance.
 - Have regular, enjoyable family meals.
 - Avoid talking about weight at home. Focus instead on having a healthy lifestyle.
 - Discourage dieting, especially when it involves unhealthy weight-control behaviors, such as fasting, using weight-loss supplements or laxatives, or self-induced vomiting.
 - Talk with your primary care provider. He or she may be in a good position to identify early indicators of an eating disorder and help prevent its development.
 - If you notice a relative or friend who seems to have food issues that could lead to or indicate an eating disorder, consider supportively talking to the person about these issues and ask how you can help.
If you have any bulimia symptoms, seek medical help as soon as possible. If left untreated, bulimia can severely impact your health."
57,None,skin ulcers,swelling of your skin,burning sensation on skin,changes in skin color,None,None,blistering,None,None,None,None,None,None,None,None,Chilblains,"To prevent chilblains:
 - Avoid or limit your exposure to cold.
 - Dress in layers of loose clothing and wear mittens and warm, water-resistant footwear.
 - Cover all exposed skin as completely as possible when going outside in cold weather.
 - Keep your hands, feet and face dry and warm.
 - Keep your home and workplace comfortably warm.
 - Don't smoke.
If your skin is exposed to cold, it's helpful to rewarm it gradually because sudden rewarming of cold skin may worsen chilblains.
Chilblains will usually get better on their own. Seek medical care to check for complications if the pain is unusually severe, if you suspect an infection, or if your symptoms aren't improving after one to two weeks. If the symptoms extend into the warm season, see a doctor to rule out other conditions."
58,None,None,None,None,irregular heartbeat,None,None,diarrhea,None,vomiting,None,nausea,dehydration,None,None,None,Cholera,"If you're traveling to areas known to have cholera, your risk of contracting the disease is extremely low if you follow these precautions:
 - Wash your hands with soap and water frequently, especially after using the toilet and before handling food. Rub soapy, wet hands together for at least 15 seconds before rinsing. If soap and water aren't available, use an alcohol-based hand sanitizer.
 - Drink only safe water, including bottled water or water you've boiled or disinfected yourself. Use bottled water even to brush your teeth.Hot beverages are generally safe, as are canned or bottled drinks, but wipe the outside before you open them. Don't add ice to your drinks unless you made it yourself using safe water.
 - Eat food that's completely cooked and hot and avoid street vendor food, if possible. If you do buy a meal from a street vendor, make sure it's cooked in your presence and served hot.
 - Avoid sushi, as well as raw or improperly cooked fish and seafood of any kind.
 - Stick to fruits and vegetables that you can peel yourself, such as bananas, oranges and avocados. Stay away from salads and fruits that can't be peeled, such as grapes and berries.
The risk of cholera is slight in industrialized nations. Even in areas where it exists you're not likely to become infected if you follow food safety recommendations. Still, cases of cholera occur throughout the world. If you develop severe diarrhea after visiting an area with active cholera, see your doctor."
59,fever,None,None,fatigue,pneumonia,seizures,jaundice,sore throat,None,None,None,None,None,muscle ache,None,None,"Cytomegalovirus (CMV) infection
","Careful hygiene is the best prevention against CMV. You can take these precautions:
 - Wash your hands often. Use soap and water for 15 to 20 seconds, especially if you have contact with young children or their diapers, saliva or other oral secretions. This is especially important if the children attend child care.
 - Avoid contact with tears and saliva when you kiss a child. Instead of kissing a child on the lips, for instance, kiss on the forehead. This is especially important if you're pregnant.
 - Avoid sharing food or drinking out of the same glass as others. Sharing glasses and kitchen utensils can spread CMV.
 - Be careful with disposable items. When disposing of diapers, tissues and other items that have been contaminated with bodily fluids, wash your hands thoroughly before touching your face.
 - Clean toys and countertops. Clean any surfaces that come in contact with children's urine or saliva.
If you have weakened immunity, you may benefit from taking antiviral medication to prevent CMV disease.
See your doctor if:
 - You have a weakened immune system and you're experiencing symptoms of CMV infection. For people who have weakened immune systems, CMV infection can be serious or even fatal. People who have undergone stem cell or organ transplants seem to be at greatest risk.
 - You develop a mononucleosis-like illness while you're pregnant."
60,stress,itchy scalp,crusty scalp,None,skin flakes on your scalp,None,None,hair loss,None,None,None,None,None,None,None,None,Dandruff,"You can take steps to reduce your risk of developing dandruff or to control it:
 - Learn to manage stress. Stress affects your overall health, making you susceptible to a number of conditions and diseases. It can even help trigger dandruff or worsen existing symptoms.
 - Eat a healthy diet. A diet that provides enough zinc, B vitamins and certain types of fats may help prevent dandruff.
 - Shampoo often. If you tend to have an oily scalp, daily shampooing may help prevent dandruff. Gently massage your scalp to loosen flakes. Rinse thoroughly.
 - Get a little sun. Sunlight may be good for controlling dandruff. But because exposure to ultraviolet light damages your skin and increases your risk of skin cancer, don't sunbathe. Instead, just spend a little time outdoors. And be sure to wear sunscreen on your face and body.
 - Limit hair styling products. Hair styling products can build up on your hair and scalp, making them oilier.
Most cases of dandruff don't require a doctor's care. See your primary care doctor or a doctor who specializes in skin conditions (dermatologist) if your condition doesn’t improve with regular use of over-the-counter dandruff shampoo."
61,drilling sensation,one side headache,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Cluster Headache,"The diagnosis of cluster headache is typically made after the history of headaches has been explored and a physical examination is completed. Cluster headaches are unique in their presentation, and often the history is sufficient to make the diagnosis. While no imaging study or specific blood test can confirm the diagnosis of cluster headache, an MRI or CT scan of the brain may be ordered to confirm that there are no other contributing factors that may mimic cluster headache symptoms. In some cases, ophthalmologic evaluation is needed to exclude problems within the eye itself that may be causing symptoms."
62,swollen eyelids,runny eyes,itchy eyes,eye soreness,None,None,sensitivity to light,None,burning eyes,None,None,None,eye pain,None,None,None,Eye Allergy,"Most people with eye allergies treat themselves and do so quite effectively with OTC eye care products. Most commonly, home care consists of an allergy sufferer flushing the eye with water. With exposure to an allergen to the eye, it is important to thoroughly flush the eye with lukewarm tap water or commercially prepared eyewash solution. If these remedies are not working or if there is eye pain, extreme redness, or heavy discharge, you should seek medical advice. Some conditions, for example, are serious with potential sight-threatening health complications if required treatment is delayed. Moistening the eyes with artificial tears helps to dilute accumulated allergens and also prevents the allergens from sticking to the conjunctiva. Tear substitutes may also improve the defense function of the natural tear film."
63,fever,painful joints,chest pain,fatigue,heart murmur,swollen joints,None,None,None,None,None,None,None,None,None,None,rheumatic Fever,The only way to prevent rheumatic fever is to treat strep throat infections or scarlet fever promptly with a full course of appropriate antibiotics.
64,Scaly ring shaped area,None,expanding rings,overlapping rings,None,itchiness,None,None,None,None,None,None,None,None,None,None,Ringworm (body),"Your doctor may prescribe various medications depending on the severity of your ringworm infection. Jock itch, athlete’s foot, and ringworm of the body can all be treated with topical medications, such as antifungal creams, ointments, gels, or sprays."
65,reddened areas,fragile hair,painful areas on scalp,None,None,None,None,None,None,None,None,None,None,None,None,None,Ringworm (scalp),"Your doctor may prescribe various medications depending on the severity of your ringworm infection. Jock itch, athlete’s foot, and ringworm of the body can all be treated with topical medications, such as antifungal creams, ointments, gels, or sprays. Ringworm of the scalp or nails may require prescription-strength oral medications such as griseofulvin (Gris-PEG) or terbinafine"
66,eyes redness,None,eye fatigue,vision problem,burning or scratchy sensation in eyes,stringy mucus in or around eyes,sensitivity to light,None,None,None,None,None,None,None,None,None,Dry eyes,"If you experience dry eyes, pay attention to the situations that are most likely to cause your symptoms. Then find ways to avoid those situations in order to prevent your dry eyes symptoms. For instance:
 - Avoid air blowing in your eyes. Don't direct hair dryers, car heaters, air conditioners or fans toward your eyes.
 - Add moisture to the air. In winter, a humidifier can add moisture to dry indoor air.
 - Consider wearing wraparound sunglasses or other protective eyewear. Safety shields can be added to the tops and sides of eyeglasses to block wind and dry air.  - Ask about shields where you buy your eyeglasses.
 - Take eye breaks during long tasks.  - If you're reading or doing another task that requires visual concentration, take periodic eye breaks. Close your eyes for a few minutes. Or blink repeatedly for a few seconds to help spread your tears evenly over your eyes.
 - Be aware of your environment. The air at high altitudes, in desert areas and in airplanes can be extremely dry. When spending time in such an environment, it may be helpful to frequently close your eyes for a few minutes at a time to minimize evaporation of your tears.
 - Position your computer screen below eye level. If your computer screen is above eye level, you'll open your eyes wider to view the screen. Position your computer screen below eye level so that you won't open your eyes as wide. This may help slow the evaporation of your tears between eye blinks.
 - Stop smoking and avoid smoke. If you smoke, ask your doctor for help devising a quit-smoking strategy that's most likely to work for you. If you don't smoke, stay away from people who do. Smoke can worsen dry eyes symptoms.
 - Use artificial tears regularly. If you have chronic dry eyes, use eyedrops even when your eyes feel fine to keep them well lubricated."
67,None,None,lack of appetite,None,weight loss,malnutrition,changes in blood sugar levels,None,None,vomiting,None,nausea,None,None,None,None,Gastroparesis,"Maintaining adequate nutrition is the most important goal in the treatment of gastroparesis. Many people can manage gastroparesis with dietary changes.
A dietitian might suggest that you try to:
 - Eat smaller meals more frequently
 - Chew food thoroughly
 - Eat well-cooked fruits and vegetables rather than raw fruits and vegetables
 - Avoid fibrous fruits and vegetables, such as oranges and broccoli, which may cause bezoars
 - Choose mostly low-fat foods, but if you can tolerate fat, add small servings of fatty foods to your diet
 - Try soups and pureed foods if liquids are easier for you to swallow
 - Drink about 34 to 51 ounces (1 to 1.5 liters) of water a day
 - Exercise gently after you eat, such as going for a walk
 - Avoid carbonated drinks, alcohol and smoking
 - Try to avoid lying down for two hours after a meal
 - Take a multivitamin daily
Make an appointment with your doctor if you have any signs or symptoms that worry you."
68,memory loss,depression,None,personality changes,difficulty communicating,None,agitation,None,None,None,None,None,None,confusion,None,None,Dementia,"There's no sure way to prevent dementia, but there are steps you can take that might help. More research is needed, but it might be beneficial to do the following:
 - Keep your mind active. Mentally stimulating activities, such as reading, solving puzzles and playing word games, and memory training might delay the onset of dementia and decrease its effects.
 - Be physically and socially active. Physical activity and social interaction might delay the onset of dementia and reduce its symptoms. Aim for 150 minutes of exercise a week.
 - Quit smoking. Some studies have shown that smoking in middle age and beyond might increase your risk of dementia and blood vessel conditions. Quitting smoking might reduce your risk and will improve your health.
 - Get enough vitamins. Some research suggests that people with low levels of vitamin D in their blood are more likely to develop Alzheimer's disease and other forms of dementia. You can get vitamin D through certain foods, supplements and sun exposure. More study is needed before an increase in vitamin D intake is recommended for preventing dementia, but it's a good idea to make sure you get adequate vitamin D. Taking a daily B-complex vitamin and vitamin C also might help.
 - Manage cardiovascular risk factors. Treat high blood pressure, high cholesterol and diabetes. Lose weight if you're overweight. High blood pressure might lead to a higher risk of some types of dementia. More research is needed to determine whether treating high blood pressure may reduce the risk of dementia.
 - Treat health conditions. See your doctor for treatment for depression or anxiety.
 - Maintain a healthy diet. A diet such as the Mediterranean diet — rich in fruits, vegetables, whole grains and omega-3 fatty acids, which are commonly found in certain fish and nuts — might promote health and lower your risk of developing dementia. This type of diet also improves cardiovascular health, which may help lower dementia risk.
 - Get good-quality sleep. Practice good sleep hygiene, and talk to your doctor if you snore loudly or have periods where you stop breathing or gasp during sleep.
 - Treat hearing problems. People with hearing loss have a greater chance of developing cognitive decline. Early treatment of hearing loss, such as use of hearing aids, might help decrease the risk.
See a doctor if you or a loved one has memory problems or other dementia symptoms."
69,None,headache,None,fatigue,restlessness,pain behind the eyes,difficult breathing,swollen glands,None,vomiting,stomach ache,nausea,None,None,None,rash,dengue fever,"If you live in or travel to an area where dengue fever is common, these tips may help reduce your risk of mosquito bites:
 - Stay in air-conditioned or well-screened housing. The mosquitoes that carry the dengue viruses are most active from dawn to dusk, but they can also bite at night.
 - Wear protective clothing. When you go into mosquito-infested areas, wear a long-sleeved shirt, long pants, socks and shoes.
 - Use mosquito repellent. Permethrin can be applied to your clothing, shoes, camping gear and bed netting. You can also buy clothing made with permethrin already in it. For your skin, use a repellent containing at least a 10% concentration of DEET.
 - Reduce mosquito habitat. The mosquitoes that carry the dengue virus typically live in and around houses, breeding in standing water that can collect in such things as used automobile tires. You can help lower mosquito populations by eliminating habitats where they lay their eggs. At least once a week, empty and clean containers that hold standing water, such as planting containers, animal dishes and flower vases. Keep standing water containers covered between cleanings.
Severe dengue fever is a life-threatening medical emergency. Seek immediate medical attention if you've recently visited an area in which dengue fever is known to occur, you have had a fever and you develop any of the warning signs. Warning signs include severe stomach pain, vomiting, difficulty breathing, or blood in your nose, gums, vomit or stools."
70,fever,itching,None,None,swelling,runny nose,None,diarrhea,None,vomiting,loss of consciousness,None,wheezing,None,shortness of breath,rash,Drug allergy,"If you have a drug allergy, the best prevention is to avoid the problem drug. Steps you can take to protect yourself include the following:
 - Inform health care workers. Be sure that your drug allergy is clearly identified in your medical records. Inform other health care providers, such as your dentist or any medical specialist.
 - Wear a bracelet. Wear a medical alert bracelet that identifies your drug allergy. This information can ensure proper treatment in an emergency.
If you have milder symptoms of a drug allergy, see your doctor as soon as possible."
71,skin tightness,itching,redness,ashy skin,gray skin,None,deep cracks that may bleed,peeling skin,None,None,None,None,None,None,None,None,Dry skin,"Try these tips to keep skin from getting excessively dry:
 - Moisturize. Moisturizer seals skin to keep water from escaping.
 - Limit water exposure. Keep bath and shower time to 10 minutes or less. Turn the dial to warm, not hot. Try to bathe no more than once a day.
 - Skip the drying soap. Try cleansing creams, gentle skin cleansers and shower gels with added moisturizers.
 - Cover as much skin as possible in cold or windy weather. Winter can be especially drying to skin, so be sure to wear a scarf, hat and gloves when you go out.
 - Wear rubber gloves. If you have to immerse your hands in water or are using harsh cleansers, wearing gloves can help protect your skin.
Most cases of dry skin respond well to lifestyle and home remedies. See your doctor if:
 - Your skin doesn't improve in spite of your best efforts
 - Dry skin is accompanied by redness
Dryness and itching interfere with sleeping
 - You have open sores or infections from scratching
 - You have large areas of scaling or peeling skin"
72,None,stomach cramping,None,stomach tenderness,None,None,None,diarrhea,None,vomiting,stomach ache,nausea,None,None,None,None,E. coli,"Avoid cross-contamination
 - Wash utensils. Use hot soapy water on knives, countertops and cutting boards before and after they come into contact with fresh produce or raw meat.
 - Keep raw foods separate. This includes using separate cutting boards for raw meat and foods, such as vegetables and fruits. Never put cooked hamburgers on the same plate you used for raw patties.
 - Wash your hands. Wash your hands after preparing or eating food, using the bathroom, or changing diapers. Make sure that children also wash their hands before eating, after using the bathroom and after contact with animals.
Risky foods :
 - Cook hamburgers until they're 160 F (71 C). Hamburgers should be well-done, with no pink showing. But color isn't a good guide to know if the meat is done cooking. Meat — especially if grilled — can brown before it's completely cooked. Use a meat thermometer to ensure that meat is heated to at least 160 F (71 C) at its thickest point.
 - Drink pasteurized milk, juice and cider. Any boxed or bottled juice kept at room temperature is likely to be pasteurized, even if the label doesn't say so. Avoid any unpasteurized dairy products or juice.
 - Wash raw produce thoroughly. Washing produce may not get rid of all E. coli — especially in leafy greens, which provide many places for the bacteria to attach themselves to. Careful rinsing can remove dirt and reduce the amount of bacteria that may be clinging to the produce.
Contact your doctor if your diarrhea is persistent, severe or bloody."
73,fever,headache,loss of appetite,ear pain,tugging or pulling at an ear,trouble sleeping,drainage of fluid from the ear,trouble hearing,None,None,None,None,None,None,None,None,Ear infection,"The following tips may reduce the risk of developing ear infections:
 - Prevent common colds and other illnesses. Teach your children to wash their hands frequently and thoroughly and to not share eating and drinking utensils. Teach your children to cough or sneeze into their elbow. If possible, limit the time your child spends in group child care. A child care setting with fewer children may help. Try to keep your child home from child care or school when ill.
 - Avoid secondhand smoke. Make sure that no one smokes in your home. Away from home, stay in smoke-free environments.
 - If you bottle-feed, hold your baby in an upright position. Avoid propping a bottle in your baby's mouth while he or she is lying down. Don't put bottles in the crib with your baby.
 - Talk to your doctor about vaccinations. Ask your doctor about what vaccinations are appropriate for your child. Seasonal flu shots, pneumococcal and other bacterial vaccines may help prevent ear infections.
It's important to get an accurate diagnosis and prompt treatment. Call your child's doctor if:
 - Symptoms last for more than a day
 - Symptoms are present in a child less than 6 months of age
 - Ear pain is severe"
74,leakage of stool,hard stool,loss of appetite,dry stool,None,None,None,None,None,None,abdominal pain,None,None,None,None,None,Encopresis,"Below are some strategies that can help prevent encopresis and its complications.
 - Avoid constipation : Help your child avoid constipation by providing a balanced diet that's high in fiber and encouraging your child to drink enough water.
 - Learn about effective toilet training techniques : Educate yourself on effective toilet training techniques. Avoid starting too early or being too forceful in your methods. Wait until your child is ready, and then use positive reinforcement and encouragement to help make progress. Ask your doctor about resources on toilet training.
 - Get early treatment for encopresis : Early treatment, including guidance from your child's doctor or mental health professional, can help prevent the social and emotional impact of encopresis. Regular follow-up visits with your doctor can help identify ongoing or recurring problems so that adjustments in treatment can be made as needed.
Call your doctor if your child is already toilet trained and starts experiencing one or more of the symptoms listed above"
75,fever,headache,None,fatigue,weakness,body stiffness,None,loss of sensation,None,vomiting,irritability,nausea,None,None,muscle weakness,None,Encephalitis,"The best way to prevent viral encephalitis is to take precautions to avoid exposure to viruses that can cause the disease. Try to:
 - Practice good hygiene. Wash hands frequently and thoroughly with soap and water, particularly after using the toilet and before and after meals.
 - Don't share utensils. Don't share tableware and beverages.
 - Teach your children good habits. Make sure they practice good hygiene and avoid sharing utensils at home and school.
 - Get vaccinations. Keep your own and your children's vaccinations current. Before traveling, talk to your doctor about recommended vaccinations for different destinations.
 - Protect yourself against mosquitoes.
Get immediate care if you are experiencing any of the more-severe symptoms associated with encephalitis"
76,None,headache,loss of appetite,None,weakness,None,None,None,cough,None,stomach ache,None,diarrhoea,None,None,None,Typhoid,"Typhoid fever and paratyphoid fever are treated with antibiotics. Resistance to antibiotics is increasing in the bacteria that cause these diseases. When bacteria are resistant to antibiotics, the bacteria are not killed and their growth is not stopped when antibiotics are taken. Your doctor may order special tests to see if the bacteria causing your infection are resistant. Results from those tests may affect what antibiotic treatment you receive. People who do not get appropriate antibiotic treatment may have fever for weeks or months and may develop complications. People who do not get treatment can die from complications of the infection."
77,None,bad breath,cracking at outer lips,unpleasant taste,metallic taste,curd like thrush,None,sore throat,None,None,None,None,None,None,None,None,Oral Thrush,"To treat oral thrush, your doctor may prescribe one or more of the following medications: fluconazole (Diflucan), an oral antifungal medication, clotrimazole (Mycelex Troche), an antifungal medication that’s available as a lozenge, nystatin (Nystop, Nyata), an antifungal mouthwash that you can swish in your mouth or swab in your baby’s mouth, itraconazole (Sporanox), an oral antifungal medication that’s used to treat people who don’t respond to other treatments for oral thrush and people with HIV, amphotericin B (AmBisome, Fungizone), a medication that’s used to treat severe cases of oral thrush"
78,red skin,swollen skin,painful skin,pus,None,None,None,None,None,None,None,None,None,None,None,None,Staph,"Minor skin infections are usually treated with an antibiotic ointment such as a nonprescription triple-antibiotic mixture. In some cases, oral antibiotics may be given for skin infections. Additionally, if abscesses are present, they are surgically drained. More serious and life-threatening infections are treated with intravenous antibiotics and supportive medical care in the hospital. Doctors use several different types of antibiotics have been used to treat staph infections. The choice of antibiotic depends on the type and severity of the infection as well as drug-resistance patterns of the particular bacterial type. Some of the antibiotics that have been used to treat staph infections are cefazolin, cefuroxime, cephalexin, nafcillin (Nallpen), oxacillin (Bactocill), dicloxacillin, vancomycin, clindamycin (Cleocin), rifampin, and telavancin (Vibativ). Combinations of antibiotics and other antibiotics can also be used. Some staph strains, such as MRSA (see next section), are resistant to many antibiotics."
79,fever,headache,stiff neck,photophobia,None,None,None,None,None,vomiting,None,nausea,None,None,shortness of breath,None,Meningitis,"Specialists who may be part of the team caring for someone with meningitis include: pediatricians, family practice or general internal medicine specialists, hospitalists or critical care (intensive care) specialists, neurologists, neurosurgeons, and infectious disease specialists."
80,None,None,sweating,fatigue,dizziness,None,None,None,None,None,None,nausea,None,None,None,None,Angina,"Treatment for angina depends upon the cause and may include behavior modification, exercise, medication, and surgery. Should the cause be ASHD, medications may be used to help minimize progression of artery narrowing and plaque buildup. Medications can be also be used to decrease the oxygen requirements of the heart and to allow the heart muscle to function more efficiently. Aspirin may be recommended to make platelets less sticky to prevent clot formation and prevent heart attack. Long-acting nitroglycerin medications (Imdur, Nitropaste) may be prescribed to dilate coronary arteries and increase blood flow to the heart muscle. As well, nitroglycerin may be used to abort an episode of angina. In this case it may be taken as a tablet or spray under the tongue. The best treatment for angina is prevention, especially if the cause is ASHD. Lifelong control of blood pressure, cholesterol, and diabetes will help prevent the development of plaque buildup within arteries not only in the heart but also the brain and peripheral arteries as well. Smoking cessation is mandatory."
81,thickened nalis,discoloration of nail,brittle nail,distorted nail,foul smell,None,None,None,None,None,None,None,None,None,None,None,Nail Fungus,"Home treatment for nail fungus includes: Vicks VapoRub is a topical ointment. Although designed for cough suppression, its active ingredients (camphor and eucalyptus oil) may help treat toenail fungus, Snakeroot (Ageratina pichinchensis) extract is an antifungal made from plants in the sunflower family, Tea tree oil, also called melaleuca, is an essential oil with antifungal and antiseptic abilities, To treat toenail fungus, apply oregano oil to the affected nail twice daily with a cotton swab. Some people use oregano oil and tea tree oil together, An active substance in olive leaf extract, oleuropein, is thought to have antifungal, antimicrobial, and immune-boosting abilities."
82,None,None,None,None,None,milld illness,None,None,None,vomiting,stomach ache,nausea,diarrhoea,muscle ache,None,None,Norovirus Infection,"Some people with norovirus infection show no signs or symptoms. However, they are still contagious and can spread the virus to others. Signs and symptoms usually begin 12 to 48 hours after exposure to norovirus and last one to three days. You can continue to shed virus in your feces for up to two weeks after recovery. This shedding can last weeks to months if you have an underlying health condition."
83,frequent nightmare,None,recall dreams,fatigue,distressing dreams,None,None,None,anxiety,None,None,None,None,None,None,None,Nightmare Disoreder,"Nightmares are more common when family members have a history of nightmares or other sleep parasomnias, such as talking during sleep. Occasional nightmares aren't usually a cause for concern. If your child has nightmares, you can simply mention them at a routine well-child exam. However, consult your doctor if nightmares: Occur frequently and persist over time, Routinely disrupt sleep, Cause fear of going to sleep"
84,None,burning stomach,None,heartburn,intolerance to fatty food,None,None,None,None,None,stomach ache,nausea,None,None,None,None,Peptic Ulcer,See your doctor if you have the severe signs or symptoms listed above. Also see your doctor if over-the-counter antacids and acid blockers relieve your pain but the pain returns.
85,mild illness,headache,None,fatigue,red eyes,None,joint pain,None,None,None,stomach ache,None,eye pain,muscle ache,None,rash,Zika Virus,"See your doctor if you think you or a family member may have the Zika virus, especially if you have recently traveled to an area where there's an ongoing outbreak. The U.S. Centers for Disease Control and Prevention (CDC) has blood tests to look for the Zika virus and other viruses spread by mosquitoes."
86,fever,headache,chest pain,fatigue,aching joints,chills,None,swelling in your feet,None,None,None,None,None,muscle ache,shortness of breath,None,Endocarditis,"You can take the following steps to help prevent endocarditis:
 - Know the signs and symptoms of endocarditis. See your doctor immediately if you develop any signs or symptoms, especially a fever that won't go away, unexplained fatigue, any type of skin infection, or open cuts or sores that don't heal properly.
 - Take care of your teeth and gums. Brush and floss your teeth and gums often, and have regular dental checkups. Good dental hygiene is an important part of maintaining your overall health.
 - Don't use illegal IV drugs. Dirty needles can send bacteria into your bloodstream, increasing your risk of endocarditis.
If you have signs or symptoms of endocarditis, see your doctor as soon as possible — especially if you have risk factors for this serious infection, such as a heart defect or history of endocarditis."
87,eye irritation,eyelid crusting,None,vision problem,watery eyes,mucous discharge,sensitivity to light,eye redness,None,None,None,None,eye pain,None,None,None,Entropion,"Generally, entropion isn't preventable. You may be able to prevent the type caused by trachoma infection. If your eyes become red and irritated after you visit an area where trachoma infection is common, seek evaluation and treatment immediately.
Seek immediate care if you have received a diagnosis of entropion and you experience:
 - Rapidly increasing redness in your eyes
 - Pain
 - Sensitivity to light
 - Decreasing vision"
88,difficult swallowing,painful swallowing,chest pain,heartburn,acid regurgitation,failure to thrive,feeding difficulties,None,None,None,None,None,None,None,None,None,Esophagitis,"Most signs and symptoms of esophagitis can be caused by a number of different conditions affecting the digestive system. See your doctor if signs or symptoms:
 - Last more than a few days
 - Don't improve or go away with over-the-counter antacids
 - Are severe enough to make eating difficult
 - Are accompanied by flu signs and symptoms, such as headache, fever and muscle aches
Get emergency care if you:
 - Experience pain in your chest that lasts more than a few minutes
 - Suspect you have food lodged in your esophagus
 - Have a history of heart disease and experience chest pain
 - Experience pain in your mouth or throat when you eat
 - Have shortness of breath or chest pain that occurs shortly after eating"
89,sore eyes,headache,itchy eyes,vision problem,tire eyes,None,sensitivity to light,watery or dry eyes,burning eyes,None,None,None,concentration difficulty,None,None,None,Eyestrain,"Consider these tips to reduce or prevent eyestrain:
 - Adjust the lighting. When watching television, it may be easier on your eyes if you keep the room softly lit.
 - Take breaks. When doing close work, take occasional breaks and rest your eyes by looking away from the digital screen.
 - Limit screen time. This is especially important for children, who may not make the connection between extended viewing, eyestrain and the need to rest their eyes regularly.
 - Use artificial tears. Over-the-counter artificial tears can help prevent and relieve dry eyes.
 - Improve the air quality of your space. Some changes that may help prevent dry eyes include using a humidifier, adjusting the thermostat to reduce blowing air and avoiding smoke.
See your doctor if self-care steps don't relieve your eyestrain."
90,cold skin,prickling feeling,"red, white, bluish-white or grayish-yellow skin",numbness,hard skin,clumsiness,muscle stiffness,blistering,None,None,None,None,None,None,None,None,Frostbite,"Frostbite can be prevented. Here are tips to help you stay safe and warm.
 - Limit time you're outdoors in cold, wet or windy weather. Pay attention to weather forecasts and wind chill readings. In very cold, windy weather, exposed skin can develop frostbite in a matter of minutes.
 - Dress in several layers of loose, warm clothing. Air trapped between the layers of clothing acts as insulation against the cold. Wear windproof and waterproof outer garments to protect against wind, snow and rain.
 - Wear a hat or headband that fully covers your ears. Heavy woolen or windproof materials make the best headwear for cold protection.
 - Wear mittens rather than gloves. Mittens provide better protection. Or try a thin pair of glove liners made of a wicking material (such as polypropylene) under a pair of heavier gloves or mittens.
 - Wear socks and sock liners that fit well, wick moisture and provide insulation. You might also try hand and foot warmers. Be sure the foot warmers don't make your boots too tight, restricting blood flow.
 - Watch for signs of frostbite. Early signs of frostbite include red or pale skin, prickling, and numbness. Seek warm shelter if you notice signs of frostbite.
Seek medical attention for frostbite if you experience:
 - Signs and symptoms of superficial or deep frostbite
 - Increased pain, swelling, redness or discharge in the area that was frostbitten
 - Fever"
91,sores in scalp,itchy scalp,sores on neck,sores on shoulders,None,None,None,None,None,None,None,None,None,None,None,None,Head Lice,"Wet combing, smothering of lice using oil, keeping the house clean to prevent lice, avoid excess medicines to treat lice faster."
